SwanLab 初始化失败，继续使用本地日志：api key not configured (no-tty), call `swanlab.login(api_key=[your_api_key])` or set `swanlab.init(mode="local")`.
Epoch 1: train_loss=1.6331, val_loss=1.5240, val_mIoU=0.2571
Epoch 2: train_loss=1.4062, val_loss=1.3306, val_mIoU=0.3008
Epoch 3: train_loss=1.3045, val_loss=1.2877, val_mIoU=0.3116
Epoch 4: train_loss=1.2429, val_loss=1.3855, val_mIoU=0.2751
Epoch 5: train_loss=1.2249, val_loss=1.2323, val_mIoU=0.3262
Epoch 6: train_loss=1.1753, val_loss=1.2435, val_mIoU=0.3490
Epoch 7: train_loss=1.1388, val_loss=1.1639, val_mIoU=0.3526
Epoch 8: train_loss=1.0970, val_loss=1.1184, val_mIoU=0.3668
Epoch 9: train_loss=1.0846, val_loss=1.1506, val_mIoU=0.3453
Epoch 10: train_loss=1.0843, val_loss=1.1208, val_mIoU=0.3647
Epoch 11: train_loss=1.0597, val_loss=1.1207, val_mIoU=0.3671
Epoch 12: train_loss=1.0563, val_loss=1.1203, val_mIoU=0.3594
Epoch 13: train_loss=1.0414, val_loss=1.0924, val_mIoU=0.3678
Epoch 14: train_loss=1.0451, val_loss=1.1282, val_mIoU=0.3703
Epoch 15: train_loss=1.0373, val_loss=1.0971, val_mIoU=0.3853
Epoch 16: train_loss=1.0179, val_loss=1.0456, val_mIoU=0.3893
Epoch 17: train_loss=0.9976, val_loss=1.0765, val_mIoU=0.3735
Epoch 18: train_loss=0.9983, val_loss=1.1776, val_mIoU=0.3479
Epoch 19: train_loss=0.9925, val_loss=1.0856, val_mIoU=0.3834
Epoch 20: train_loss=0.9922, val_loss=1.1165, val_mIoU=0.3712
Epoch 21: train_loss=0.9748, val_loss=1.0168, val_mIoU=0.3975
Epoch 22: train_loss=0.9709, val_loss=1.0598, val_mIoU=0.3892
Epoch 23: train_loss=0.9765, val_loss=1.0592, val_mIoU=0.3814
Epoch 24: train_loss=0.9694, val_loss=1.0494, val_mIoU=0.3865
Epoch 25: train_loss=0.9559, val_loss=1.0225, val_mIoU=0.3965
Epoch 26: train_loss=0.9506, val_loss=1.0126, val_mIoU=0.4016
Epoch 27: train_loss=0.9361, val_loss=1.0526, val_mIoU=0.3950
Epoch 28: train_loss=0.9348, val_loss=1.0890, val_mIoU=0.4040
Epoch 29: train_loss=0.9357, val_loss=0.9920, val_mIoU=0.4080
Epoch 30: train_loss=0.9186, val_loss=1.0117, val_mIoU=0.4119
Epoch 31: train_loss=0.9414, val_loss=1.1994, val_mIoU=0.3649
Epoch 32: train_loss=0.9405, val_loss=1.0616, val_mIoU=0.3917
Epoch 33: train_loss=0.9023, val_loss=0.9968, val_mIoU=0.4128
Epoch 34: train_loss=0.9081, val_loss=1.0701, val_mIoU=0.3871
Epoch 35: train_loss=0.8980, val_loss=0.9558, val_mIoU=0.4220
Epoch 36: train_loss=0.9102, val_loss=0.9996, val_mIoU=0.4063
Epoch 37: train_loss=0.8994, val_loss=1.0408, val_mIoU=0.3933
Epoch 38: train_loss=0.9037, val_loss=0.9742, val_mIoU=0.4203
Epoch 39: train_loss=0.8851, val_loss=0.9997, val_mIoU=0.4115
Epoch 40: train_loss=0.8761, val_loss=0.9816, val_mIoU=0.4089
SwanLab 初始化失败，继续使用本地日志：api key not configured (no-tty), call `swanlab.login(api_key=[your_api_key])` or set `swanlab.init(mode="local")`.
Epoch 1: train_loss=0.7557, val_loss=0.6857, val_mIoU=0.2565
Epoch 2: train_loss=0.6583, val_loss=0.6128, val_mIoU=0.3190
Epoch 3: train_loss=0.6032, val_loss=0.5896, val_mIoU=0.3232
Epoch 4: train_loss=0.5834, val_loss=0.5930, val_mIoU=0.3133
Epoch 5: train_loss=0.5637, val_loss=0.5861, val_mIoU=0.3158
Epoch 6: train_loss=0.5530, val_loss=0.5823, val_mIoU=0.3154
Epoch 7: train_loss=0.5387, val_loss=0.5516, val_mIoU=0.3472
Epoch 8: train_loss=0.5377, val_loss=0.5567, val_mIoU=0.3425
Epoch 9: train_loss=0.5321, val_loss=0.6291, val_mIoU=0.2731
Epoch 10: train_loss=0.5225, val_loss=0.5523, val_mIoU=0.3499
Epoch 11: train_loss=0.5142, val_loss=0.5221, val_mIoU=0.3733
Epoch 12: train_loss=0.5140, val_loss=0.6145, val_mIoU=0.2969
Epoch 13: train_loss=0.5112, val_loss=0.5170, val_mIoU=0.3775
Epoch 14: train_loss=0.5070, val_loss=0.5481, val_mIoU=0.3495
Epoch 15: train_loss=0.4936, val_loss=0.5570, val_mIoU=0.3443
Epoch 16: train_loss=0.4946, val_loss=0.5832, val_mIoU=0.3173
Epoch 17: train_loss=0.4938, val_loss=0.5420, val_mIoU=0.3494
Epoch 18: train_loss=0.4804, val_loss=0.5053, val_mIoU=0.3889
Epoch 19: train_loss=0.4786, val_loss=0.5014, val_mIoU=0.3867
Epoch 20: train_loss=0.4908, val_loss=0.5366, val_mIoU=0.3528
Epoch 21: train_loss=0.4881, val_loss=0.5088, val_mIoU=0.3797
Epoch 22: train_loss=0.4795, val_loss=0.5066, val_mIoU=0.3854
Epoch 23: train_loss=0.4870, val_loss=0.5270, val_mIoU=0.3645
Epoch 24: train_loss=0.4880, val_loss=0.5346, val_mIoU=0.3582
Epoch 25: train_loss=0.4836, val_loss=0.5065, val_mIoU=0.3860
